title,old_url,status,archived,hs_category,hs_subcategory,new_path,disposition
Event Images & Dimensions,https://learn.sessionboard.com/en/knowledge-base/7211490-branding-assets-dimensions,PUBLISHED,0,Feature Overview Guides,Event Settings,/settings/branding-assets-dimensions,imported
How to grant portal access to an event contact?,https://learn.sessionboard.com/en/knowledge-base/8886682-how-to-grant-portal-access-to-an-event-contact,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-grant-portal-access-to-an-event-contact,imported
Create & Assign A Session Submitter,https://learn.sessionboard.com/en/knowledge-base/8895375-create-assign-a-session-submitter,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/create-assign-a-session-submitter,imported
"Why does my computer say ""This site can't be reached""?",https://learn.sessionboard.com/en/knowledge-base/8103124-why-does-my-computer-say-this-site-can-t-be-reached,UNPUBLISHED,0,Frequently Asked Questions,,/faq/what-is-the-recommended-browser-for-using-sessionboard,unpublished in HubSpot ~2026-04 (noindexed; traffic already decayed to 0) — mapped so residual links resolve
Understanding a Portal Task,https://learn.sessionboard.com/en/knowledge-base/updated-portal,PUBLISHED,0,Portal Users,,/participants/updated-portal,imported
Session Fields vs. People/Individual Fields vs. Group Fields,https://learn.sessionboard.com/en/knowledge-base/7904796-session-fields-vs-people-individual-fields-vs-group-fields,PUBLISHED,0,Understanding Sessionboard Terms & Roles,,/concepts/field-types,hand-migrated
Importing Data,https://learn.sessionboard.com/en/knowledge-base/8511270-importing-data,PUBLISHED,0,Feature Overview Guides,General,/settings/importing-data,imported
Bulk Edit Fields,https://learn.sessionboard.com/en/knowledge-base/7992729-bulk-edit-fields,PUBLISHED,0,Feature Overview Guides,General,/settings/bulk-edit-fields,imported
Snöball Integration,https://learn.sessionboard.com/en/knowledge-base/9854652-snoball-integration,PUBLISHED,0,Integrations,,/apps/snoball-integration,imported
How can I switch between a people portal and a group portal?,https://learn.sessionboard.com/en/knowledge-base/8857456-how-can-i-switch-between-a-people-portal-and-a-group-portal,DRAFT,0,Portal Users,Portals (Legacy),/participants/updated-portals,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Speaker CRM: Set-Up & Best Practices,https://learn.sessionboard.com/en/knowledge-base/crm-best-practices,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/crm-best-practices,imported
What Is the recommended browser for using Sessionboard?,https://learn.sessionboard.com/en/knowledge-base/what-is-the-recommended-browser-for-using-sessionboard,PUBLISHED,0,Frequently Asked Questions,,/faq/what-is-the-recommended-browser-for-using-sessionboard,imported
I want to give colleagues access to my sponsors/exhibitor portal.,https://learn.sessionboard.com/en/knowledge-base/pp-i-want-to-give-colleagues-access-to-my-sponsors/exhibitor-portal,PUBLISHED,0,Portal Users,,/participants/exhibitor-portal,imported
ON24 Integration,https://learn.sessionboard.com/en/knowledge-base/on24-integration,PUBLISHED,0,Integrations,,/apps/on24-integration,imported
Automated/System-Generated Emails,https://learn.sessionboard.com/en/knowledge-base/7980556-automated-emails,PUBLISHED,0,Feature Overview Guides,Emails & SMS Messages,/communications/automated-emails,imported
Accept or Decline Submissions,https://learn.sessionboard.com/en/knowledge-base/6284023-accept-or-decline-submissions,PUBLISHED,0,Feature Overview Guides,Sessions Module,/sessions/accept-decline,hand-migrated
[VIDEO] Subsessions In The Speaker Portal,https://learn.sessionboard.com/en/knowledge-base/7239174-subsessions-in-the-speaker-portal,DRAFT,1,Feature Overview Guides,General,/sessions/create-a-subsession,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
May 2024 Release Notes (V1),https://learn.sessionboard.com/en/knowledge-base/9260210-may-2024-release-notes,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/may-2024-release-notes,imported
How can I view a portal as an Admin?,https://learn.sessionboard.com/en/knowledge-base/8854390-how-can-i-view-a-portal-as-an-admin,PUBLISHED,0,Frequently Asked Questions,,/faq/how-can-i-view-a-portal-as-an-admin,imported
[VIDEO] Settings - Event Details,https://learn.sessionboard.com/en/knowledge-base/video-event-settings,PUBLISHED,0,Training Videos,Settings,/videos/video-event-settings,imported
Updated Portal: Create & Assign Tasks,https://learn.sessionboard.com/en/knowledge-base/updated-portal-create-assign-tasks,DRAFT,1,Feature Overview Guides,,/portals/assign-tasks,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
[VIDEO] Importing Data,https://learn.sessionboard.com/en/knowledge-base/video-importing-data,PUBLISHED,0,Training Videos,General,/videos/video-importing-data,imported
How to view a wiki page within my portal?,https://learn.sessionboard.com/en/knowledge-base/updated-portals-1,PUBLISHED,0,Portal Users,,/participants/updated-portals-1,imported
Can I Archive Events in Sessionboard?,https://learn.sessionboard.com/en/knowledge-base/can-i-archive-events-in-sessionboard,PUBLISHED,0,Frequently Asked Questions,,/faq/can-i-archive-events-in-sessionboard,imported
[How To] (Evaluator) Navigate Evaluation Plans,https://learn.sessionboard.com/en/knowledge-base/sessionboard-overview-evaluation-plans-as-an-evaluator,PUBLISHED,0,Sessionboard How To's,,/get-started/navigate-evaluation-plans,imported
AI Evaluations,https://learn.sessionboard.com/en/knowledge-base/ai-evaluations,PUBLISHED,0,Feature Overview Guides,Studio (powered by AI),/evaluations/ai-evaluations,hand-migrated
[How To] Navigate Your Contact Portal,https://learn.sessionboard.com/en/knowledge-base/sessionboard-overview-portals,PUBLISHED,0,Sessionboard How To's,,/get-started/navigate-your-contact-portal,imported
May 2025 Release Notes,https://learn.sessionboard.com/en/knowledge-base/may-release-notes,PUBLISHED,0,Product Release Notes,2025 Release Notes,/release-notes/may-release-notes,imported
Can I Email My Event Team/Evaluators?,https://learn.sessionboard.com/en/knowledge-base/can-i-email-my-event-team/evaluators,PUBLISHED,0,Frequently Asked Questions,,/faq/evaluators,imported
What does the eye icon mean next to a speaker's name?,https://learn.sessionboard.com/en/knowledge-base/what-does-the-eye-icon-mean-next-to-a-speakers-name,PUBLISHED,0,Frequently Asked Questions,,/faq/what-does-the-eye-icon-mean-next-to-a-speakers-name,imported
Inviting Organization Team Members,https://learn.sessionboard.com/en/knowledge-base/inviting-organization-team-members,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/inviting-organization-team-members,imported
[VIDEO] Settings - Record Settings,https://learn.sessionboard.com/en/knowledge-base/video-settings-record-settings,PUBLISHED,0,Training Videos,Settings,/videos/video-settings-record-settings,imported
[VIDEO] Event Team,https://learn.sessionboard.com/en/knowledge-base/video-event-team,PUBLISHED,0,Training Videos,Event Team,/videos/video-event-team,imported
[VIDEO] History,https://learn.sessionboard.com/en/knowledge-base/video-history,PUBLISHED,0,Training Videos,History,/videos/video-history,imported
[VIDEO] AI Evaluations,https://learn.sessionboard.com/en/knowledge-base/video-ai-evaluations,PUBLISHED,0,Training Videos,Evaluation,/videos/video-ai-evaluations,imported
[VIDEO] Session Submission Form,https://learn.sessionboard.com/en/knowledge-base/video-session-submission-form,PUBLISHED,0,Training Videos,Sessions,/videos/video-session-submission-form,imported
[VIDEO] Create A Session,https://learn.sessionboard.com/en/knowledge-base/video-create-a-session,PUBLISHED,0,Training Videos,Sessions,/videos/video-create-a-session,imported
[VIDEO] Create A Contact,https://learn.sessionboard.com/en/knowledge-base/video-create-a-contact,PUBLISHED,0,Training Videos,Contacts/Speakers,/videos/video-create-a-contact,imported
[VIDEO] Agenda Building,https://learn.sessionboard.com/en/knowledge-base/video-agenda-building,PUBLISHED,0,Training Videos,Sessions,/videos/video-agenda-building,imported
[VIDEO] Reports,https://learn.sessionboard.com/en/knowledge-base/video-reports,PUBLISHED,0,Training Videos,Reports,/videos/video-reports,imported
[VIDEO] Session Settings,https://learn.sessionboard.com/en/knowledge-base/video-session-settings,PUBLISHED,0,Training Videos,Sessions,/videos/video-session-settings,imported
[VIDEO] File Requests,https://learn.sessionboard.com/en/knowledge-base/video-file-requests,PUBLISHED,0,Training Videos,Portals,/videos/video-file-requests,imported
[VIDEO] Resources/Wiki Pages,https://learn.sessionboard.com/en/knowledge-base/video-resources/wiki-pages,PUBLISHED,0,Training Videos,Portals,/videos/wiki-pages,imported
[VIDEO] Files,https://learn.sessionboard.com/en/knowledge-base/video-files,PUBLISHED,0,Training Videos,Portals,/videos/video-files,imported
[VIDEO] Tasks,https://learn.sessionboard.com/en/knowledge-base/video-tasks,PUBLISHED,0,Training Videos,Portals,/videos/video-tasks,imported
[VIDEO] Forms,https://learn.sessionboard.com/en/knowledge-base/video-forms,PUBLISHED,0,Training Videos,Portals,/videos/video-forms,imported
[VIDEO] (Session) Files,https://learn.sessionboard.com/en/knowledge-base/video-session-files,PUBLISHED,0,Training Videos,Files,/videos/video-session-files,imported
[VIDEO] Evaluation Plans,https://learn.sessionboard.com/en/knowledge-base/video-evaluation-plans,PUBLISHED,0,Training Videos,Evaluation,/videos/video-evaluation-plans,imported
[How To] Update a Portal Field Label,https://learn.sessionboard.com/en/knowledge-base/sessionboard-overview-evaluation-plans-as-an-evaluator-0,PUBLISHED,0,Sessionboard How To's,,/get-started/update-a-portal-field-label,imported
[VIDEO] Accept/Decline Sessions,https://learn.sessionboard.com/en/knowledge-base/video-accept/decline-sessions,PUBLISHED,0,Training Videos,Sessions,/videos/decline-sessions,imported
[VIDEO] Creating & Sending Emails,https://learn.sessionboard.com/en/knowledge-base/video-creating-sending-emails,PUBLISHED,0,Training Videos,General,/videos/video-creating-sending-emails,imported
Mark Tasks Complete for Portal Users,https://learn.sessionboard.com/en/knowledge-base/mark-tasks-complete-for-portal-users,PUBLISHED,0,Frequently Asked Questions,,/faq/mark-tasks-complete-for-portal-users,imported
[VIDEO] Portal Settings & Appearance,https://learn.sessionboard.com/en/knowledge-base/video-portal-settings-appearance,PUBLISHED,0,Training Videos,Portals,/videos/video-portal-settings-appearance,imported
[VIDEO] Embeds,https://learn.sessionboard.com/en/knowledge-base/video-embeds,PUBLISHED,0,Training Videos,Sessions,/videos/video-embeds,imported
What does the “p” in the Description/Biography text box mean?,https://learn.sessionboard.com/en/knowledge-base/what-does-the-p-in-the-description/biography-text-box-mean,PUBLISHED,0,Frequently Asked Questions,,/faq/biography-text-box-mean,imported
[VIDEO] Task Managment,https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-d1c8d6c6-8aac-4369-b6ca-b59c02ecdf4c,DRAFT,0,,,/portals/temporary-slug-d1c8d6c6-8aac-4369-b6ca-b59c02ecdf4c,draft-hold
How to email Moderators & Chairpersons?,https://learn.sessionboard.com/en/knowledge-base/how-to-email-moderators-chairpersons,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-email-moderators-chairpersons,imported
June 2025 Release Notes,https://learn.sessionboard.com/en/knowledge-base/june-2025-release-notes,PUBLISHED,0,Product Release Notes,2025 Release Notes,/release-notes/june-2025-release-notes,imported
How are tasks ordered within the portal?,https://learn.sessionboard.com/en/knowledge-base/how-are-tasks-ordered-within-the-portal,PUBLISHED,0,Frequently Asked Questions,,/faq/how-are-tasks-ordered-within-the-portal,imported
Event Platform Comparison,https://learn.sessionboard.com/en/knowledge-base/event-platform-comparison,PUBLISHED,0,Integrations,,/apps/event-platform-comparison,imported
How to Resize Contact Headshots in Sessionboard via Import,https://learn.sessionboard.com/en/knowledge-base/how-to-resize-contact-headshots-in-sessionboard-via-import,DRAFT,0,Frequently Asked Questions,,/faq/bulk-resize-compress-headshot-photos,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
How to Compress Headshots?,https://learn.sessionboard.com/en/knowledge-base/how-to-compress-headshots,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-compress-headshots,imported
Task - Use Field,https://learn.sessionboard.com/en/knowledge-base/task-use-field,PUBLISHED,0,Frequently Asked Questions,,/faq/task-use-field,imported
Evaluation Summary,https://learn.sessionboard.com/en/knowledge-base/evaluation-summary,PUBLISHED,0,Feature Overview Guides,Evaluations,/evaluations/evaluation-summary,imported
Filtering Contacts to View Moderators and Chairpersons,https://learn.sessionboard.com/en/knowledge-base/filtering-contacts-to-view-moderators-and-chairpersons,PUBLISHED,0,Frequently Asked Questions,,/faq/filtering-contacts-to-view-moderators-and-chairpersons,imported
[How To] Upload a File to a Session,https://learn.sessionboard.com/en/knowledge-base/sessionboard-overview-evaluation-plans-as-an-evaluator-0-0,PUBLISHED,0,Sessionboard How To's,,/get-started/upload-a-file-to-a-session,imported
July 2025 Release Notes,https://learn.sessionboard.com/en/knowledge-base/june-2025-release-notes-0,PUBLISHED,0,Product Release Notes,2025 Release Notes,/release-notes/june-2025-release-notes-0,imported
What question is your article answering?,https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-44a25fed-4446-4734-a335-590e0f71f00e,DRAFT,0,,,/faq/temporary-slug-44a25fed-4446-4734-a335-590e0f71f00e,draft-hold
Sessionboard Standard Fields,https://learn.sessionboard.com/en/knowledge-base/sessionboard-standard-fields-,PUBLISHED,0,Understanding Sessionboard Terms & Roles,,/concepts/sessionboard-standard-fields,imported
Remix Session & Speaker Content,https://learn.sessionboard.com/en/knowledge-base/remix-session-speaker-content,PUBLISHED,0,Feature Overview Guides,Studio (powered by AI),/studio/remix-session-speaker-content,imported
How to create a portal for accepted speakers?,https://learn.sessionboard.com/en/knowledge-base/how-to-create-a-portal-for-accepted-speakers,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-create-a-portal-for-accepted-speakers,imported
How Can Session Participants View Other Associated Participants’ Information?,https://learn.sessionboard.com/en/knowledge-base/how-can-session-participants-view-other-associated-participants-information,PUBLISHED,0,Frequently Asked Questions,,/faq/how-can-session-participants-view-other-associated-participants-information,imported
[How To] Navigate Your Group Portal,https://learn.sessionboard.com/en/knowledge-base/how-to-navigate-your-group-portal,PUBLISHED,0,Sessionboard How To's,,/portals/how-to-navigate-your-group-portal,imported
Can sessions that are not accepted be hidden from a user’s portal?,https://learn.sessionboard.com/en/knowledge-base/can-sessions-that-are-not-accepted-be-hidden-from-a-users-portal,PUBLISHED,0,Frequently Asked Questions,,/faq/can-sessions-that-are-not-accepted-be-hidden-from-a-users-portal,imported
How to Track Task Completion in the Event Portal,https://learn.sessionboard.com/en/knowledge-base/how-to-track-task-completion-in-the-event-portal,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-track-task-completion-in-the-event-portal,imported
How to allow portal users to add speakers to their accepted session,https://learn.sessionboard.com/en/knowledge-base/how-to-allow-portal-users-to-add-speakers-to-their-accepted-session,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-allow-portal-users-to-add-speakers-to-their-accepted-session,imported
Can I clone a session?,https://learn.sessionboard.com/en/knowledge-base/can-i-clone-a-session,PUBLISHED,0,Frequently Asked Questions,,/faq/clone-a-session,hand-migrated
How to Access Additional Contacts Module View?,https://learn.sessionboard.com/en/knowledge-base/can-i-view-additional-contacts-in-a-dashboard,PUBLISHED,0,Frequently Asked Questions,,/faq/can-i-view-additional-contacts-in-a-dashboard,imported
[How To] Add or Edit Speaker Information for an Accepted Session,https://learn.sessionboard.com/en/knowledge-base/how-to-add-of-edit-speaker-information-for-an-accepted-session-,PUBLISHED,0,Portal Users,,/participants/how-to-add-of-edit-speaker-information-for-an-accepted-session,imported
"What is the difference between a People, Groups, and Sessions task?",https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-40b68f31-bae1-43ff-b30a-f280424a97a3,DRAFT,0,,,/portals/temporary-slug-40b68f31-bae1-43ff-b30a-f280424a97a3,draft-hold
How to filter contacts by session status?,https://learn.sessionboard.com/en/knowledge-base/how-to-filter-contacts-by-session-status,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-filter-contacts-by-session-status,imported
What Does the ‘New/Returning’ Badge on a Contact’s Profile Indicate?,https://learn.sessionboard.com/en/knowledge-base/what-does-the-new-returning-badge-on-a-contacts-profile-indicate,PUBLISHED,0,Frequently Asked Questions,,/faq/what-does-the-new-returning-badge-on-a-contacts-profile-indicate,imported
Session Speaker Acceptance,https://learn.sessionboard.com/en/knowledge-base/allow-speakers-to-accept-or-decline-their-participation-for-an-accepted-session,PUBLISHED,0,Feature Overview Guides,Speakers,/speakers/speaker-acceptance,hand-migrated
Bulk Resize Headshot Photos,https://learn.sessionboard.com/en/knowledge-base/bulk-resize-compress-headshot-photos,PUBLISHED,0,Frequently Asked Questions,,/faq/bulk-resize-compress-headshot-photos,imported
Understanding Synchronization Between Sessionboard and ATS App,https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-b1415302-54f9-4897-adf5-9252bde32f90,DRAFT,0,,,/sessions/temporary-slug-b1415302-54f9-4897-adf5-9252bde32f90,draft-hold
How to Update Your Presenter Bio in the Portal,https://learn.sessionboard.com/en/knowledge-base/how-to-update-your-presenter-bio-in-the-portal,DRAFT,0,,,/participants/edit-submission,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
AI Agenda Builder,https://learn.sessionboard.com/en/knowledge-base/ai-agenda-builder,PUBLISHED,0,Feature Overview Guides,Studio (powered by AI),/studio/ai-agenda-builder,imported
[VIDEO] AI Content Remix,https://learn.sessionboard.com/en/knowledge-base/video-ai-content-remix,PUBLISHED,0,Training Videos,Sessions,/videos/video-ai-content-remix,imported
[VIDEO] AI Agenda Builder,https://learn.sessionboard.com/en/knowledge-base/video-ai-agenda-builder,PUBLISHED,0,Training Videos,Sessions,/videos/video-ai-agenda-builder,imported
Speaker Headshot Do's and Don'ts,https://learn.sessionboard.com/en/knowledge-base/speaker-headshot-dos-and-donts,PUBLISHED,0,Portal Users,,/participants/speaker-headshot-dos-and-donts,imported
Understanding File Collection,https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-ce97b5c9-2a2a-4230-86a0-b792ae5829cf,DRAFT,0,,,/faq/temporary-slug-ce97b5c9-2a2a-4230-86a0-b792ae5829cf,draft-hold
6 Common CSV & XLSX Import Issues (and How to Fix Them),https://learn.sessionboard.com/en/knowledge-base/common-csv-xlsx-import-issues-and-how-to-fix-them,PUBLISHED,0,Troubleshooting,,/faq/common-csv-xlsx-import-issues-and-how-to-fix-them,imported
6 Common Speaker Portal Issues (and How to Fix Them),https://learn.sessionboard.com/en/knowledge-base/common-speaker-portal-issues-and-how-to-fix-them,PUBLISHED,0,Troubleshooting,,/faq/common-speaker-portal-issues-and-how-to-fix-them,imported
Integration Not Syncing? 11 Common Causes & Fixes,https://learn.sessionboard.com/en/knowledge-base/integration-not-syncing-common-causes-and-fixes,DRAFT,0,Troubleshooting,,/integrations/overview,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
Speaker CRM: Interest Forms,https://learn.sessionboard.com/en/knowledge-base/speaker-crm-interest-forms,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/speaker-crm-interest-forms,imported
Settings – Email Themes (enabled upon request),https://learn.sessionboard.com/en/knowledge-base/email-themes,PUBLISHED,0,Feature Overview Guides,Event Settings,/settings/email-themes,imported
Integration Field Mapping Reference,https://learn.sessionboard.com/en/knowledge-base/integration-field-mapping-reference,DRAFT,0,Integrations,,/integrations/overview,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
"Awards Pricing, Payments & Invoices",https://learn.sessionboard.com/en/knowledge-base/awards-pricing-payments-invoices,PUBLISHED,0,Feature Overview Guides,Awards,/awards/awards-pricing-payments-invoices,imported
Getting Started with Sessionboard Awards,https://learn.sessionboard.com/en/knowledge-base/getting-started-with-sessionboard-awards,PUBLISHED,0,Feature Overview Guides,Awards,/awards/getting-started,hand-migrated
Awards Notifications & Email Templates,https://learn.sessionboard.com/en/knowledge-base/awards-notifications-email-templates,PUBLISHED,0,Feature Overview Guides,Awards,/awards/awards-notifications-email-templates,imported
"Managing Submissions, Reviewers & Rounds",https://learn.sessionboard.com/en/knowledge-base/managing-submissions-reviewers-rounds,PUBLISHED,0,Feature Overview Guides,Awards,/awards/managing-submissions-reviewers-rounds,imported
Building Your Awards Submission Form,https://learn.sessionboard.com/en/knowledge-base/awards-submission-form,PUBLISHED,0,Feature Overview Guides,Awards,/awards/awards-submission-form,imported
Awards List of Supported Payment Gateways,https://learn.sessionboard.com/en/knowledge-base/awards-list-of-supported-payment-gateways,PUBLISHED,0,Feature Overview Guides,Awards,/awards/awards-list-of-supported-payment-gateways,imported
Setting Up Your Sessionboard Site,https://learn.sessionboard.com/en/knowledge-base/setting-up-your-sessionboard-site,PUBLISHED,0,Feature Overview Guides,Awards,/awards/setting-up-your-sessionboard-site,imported
Insights: AI Reports & Custom Dashboards,https://learn.sessionboard.com/en/knowledge-base/insights-ai-reports,PUBLISHED,0,Feature Overview Guides,Studio (powered by AI),/reporting/insights-ai,hand-migrated
test,https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-eb311ad2-7f6a-4bc4-8323-2a1484c90cf4,DRAFT,0,,,/faq/temporary-slug-eb311ad2-7f6a-4bc4-8323-2a1484c90cf4,draft-hold
What question is your article answering?,https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-0e482021-7b83-4921-af5b-80dd27b0fdee,DRAFT,0,,,/faq/temporary-slug-0e482021-7b83-4921-af5b-80dd27b0fdee,draft-hold
Building Your Submission Form (Sessions 2.0),https://learn.sessionboard.com/en/knowledge-base/building-your-submission-form,PUBLISHED,0,Feature Overview Guides,Applications,/applications/building-your-submission-form,imported
Setting Up Round-Based Evaluations (Sessions 2.0),https://learn.sessionboard.com/en/knowledge-base/setting-up-round-based-evaluations,PUBLISHED,0,Feature Overview Guides,Evaluations,/evaluations/setting-up-round-based-evaluations,imported
How To Evaluate Sessions (Sessions 2.0),https://learn.sessionboard.com/en/knowledge-base/how-to-evaluate-sessions,PUBLISHED,0,Feature Overview Guides,Evaluations,/evaluations/how-to-evaluate-sessions,imported
Program Settings (Sessions 2.0),https://learn.sessionboard.com/en/knowledge-base/program-settings-2.0,PUBLISHED,0,Feature Overview Guides,Event Settings,/sessions/program-settings,hand-migrated
Program Site,https://learn.sessionboard.com/en/knowledge-base/program-site,PUBLISHED,0,Feature Overview Guides,Portal,/site/program-site,hand-migrated
Help Us Help You: The Sessionboard Support Checklist,https://learn.sessionboard.com/en/knowledge-base/help-us-help-you-the-sessionboard-support-checklist,PUBLISHED,0,Troubleshooting,,/faq/help-us-help-you-the-sessionboard-support-checklist,imported
Generating API Tokens,https://learn.sessionboard.com/en/knowledge-base/generating-api-tokens,PUBLISHED,0,Integrations,,/integrations/api-tokens,hand-migrated
Speaker CRM: Pipeline,https://learn.sessionboard.com/en/knowledge-base/speaker-crm-pipeline,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/pipeline,hand-migrated
Print Agendas,https://learn.sessionboard.com/en/knowledge-base/-print-agendas-,PUBLISHED,0,Feature Overview Guides,,/marketing/print-agendas,imported
Email Campaigns,https://learn.sessionboard.com/en/knowledge-base/email-campaigns,PUBLISHED,0,Feature Overview Guides,,/communications/email-campaigns,imported
What is Sessionboard Marketing?,https://learn.sessionboard.com/en/knowledge-base/what-is-sessionboard-marketing,PUBLISHED,0,Feature Overview Guides,,/marketing/what-is-sessionboard-marketing,imported
Draft: Creating a Custom Portal for Declined Speakers,https://learn.sessionboard.com/en/knowledge-base/-temporary-slug-02a611d5-2d8c-4fef-9afe-b3e5bdbb75b8,DRAFT,0,,,/portals/temporary-slug-02a611d5-2d8c-4fef-9afe-b3e5bdbb75b8,draft-hold
How to Set Up Two-Factor Authentication (2FA) on Your Sessionboard Account,https://learn.sessionboard.com/en/knowledge-base/how-to-set-up-two-factor-authentication-2fa-on-your-sessionboard-account,PUBLISHED,0,Feature Overview Guides,,/get-started/how-to-set-up-two-factor-authentication-2fa-on-your-sessionboard-account,imported
Why am I not receiving emails?,https://learn.sessionboard.com/en/knowledge-base/why-am-i-not-receiving-emails,PUBLISHED,0,Troubleshooting,,/faq/why-am-i-not-receiving-emails,imported
Category: Frequently Asked Questions,https://learn.sessionboard.com/en/knowledge-base/frequently-asked-questions,CATEGORY,0,Frequently Asked Questions,,/faq/overview,category-page
Category: Training Videos,https://learn.sessionboard.com/en/knowledge-base/training-videos,CATEGORY,0,Training Videos,,/videos/overview,category-page
Category: Product Release Notes,https://learn.sessionboard.com/en/knowledge-base/product-release-notes,CATEGORY,0,Product Release Notes,,/release-notes/overview,category-page
Category: Portal Users,https://learn.sessionboard.com/en/knowledge-base/portal-users,CATEGORY,0,Portal Users,,/participants/overview,category-page
Category: Integrations,https://learn.sessionboard.com/en/knowledge-base/integrations,CATEGORY,0,Integrations,,/integrations/overview,category-page
Category: Feature Overview Guides,https://learn.sessionboard.com/en/knowledge-base/feature-overview-guides,CATEGORY,0,Feature Overview Guides,,/get-started/overview,category-page
Category: Sessionboard How-Tos,https://learn.sessionboard.com/en/knowledge-base/sessionboard-how-tos,CATEGORY,0,Sessionboard How-Tos,,/get-started/overview,category-page
Understanding Sessionboard terms & roles,https://learn.sessionboard.com/en/knowledge-base/understanding-sessionboard-terms-roles,PUBLISHED,0,Feature Overview Guides,,/concepts/participant-roles,category-page
KB search results page,https://learn.sessionboard.com/en/knowledge-base/kb-search-results,SYSTEM,0,,,/,system-page
Category: Video Resources (migrated),https://learn.sessionboard.com/en/migrated/knowledge-base/video-resources,CATEGORY,0,Training Videos,,/videos/overview,category-page
Applications (legacy landing),https://learn.sessionboard.com/en/knowledge-base/applications,REMOVED,0,Feature Overview Guides,,/applications/create-applications,404s in HubSpot today; has external backlinks
Docusign integration,https://learn.sessionboard.com/en/knowledge-base/docusign-integration,REMOVED,0,,,/integrations/overview,repointed: broken/404 in HubSpot today; nearest published article
Video create a group,https://learn.sessionboard.com/en/knowledge-base/video-create-a-group,REMOVED,0,,,/videos/video-create-a-contact,repointed: broken/404 in HubSpot today; nearest published article
